Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-06-30,88.300183712475,92.299745563992,83.300176064983,90.899883049301,13684093.19163
2020-07-31,90.560124971835,133.39841427586,90.440067245209,126.04686185248,21544875.328912
2020-08-31,126.80317264136,139.95346037193,125.99608854078,136.84782613955,13386919.228518
2020-09-30,137.99657231679,139.49967389861,114.50016454981,117.99823417054,12449906.873972
2020-10-31,118.50279395557,131.60336615177,111.9985211712,118.15055410565,14280717.872253
2020-11-30,118.10083857127,158.49841247074,116.49619036605,148.99957207334,12945886.31738
2020-12-31,149.89656724672,191.94956266311,149.60356292711,183.00393980778,11472206.459075
2021-01-31,185.89801857474,221.00247472937,167.15103100646,188.39966195334,11477768.443149
2021-02-28,197.00150717736,214.29722425285,179.35355025194,189.34743043843,12327817.902475
2021-03-31,193.24957099812,199.20062624041,166.00228482922,190.20423007338,12823221.215958
2021-04-30,190.00219460391,209.00199095337,184.74821462018,194.60141042216,9173691.9981067
2021-05-31,197.00150717736,230.80383944233,191.69675388193,202.00373615724,14394307.687841
2021-06-30,202.49666039167,210.79703907746,174.60064195523,187.65014115061,14108072.337598
2021-07-31,187.99942844521,200.49929838424,176.5998659297,194.60022407551,7932056
2021-08-31,195.75087921717,199.90037032053,169.00050722296,178.30015032771,9659674
2021-09-30,177.00054985323,181.70071912375,152.85042771879,157.65024351479,12905496
2021-10-31,156.00030683491,174.54924532629,150.15053133353,153.40005697515,16276529
2021-11-30,151.00014907714,160.50013414367,131.49984849508,142.29943403609,14117693
2021-12-31,143.90007190862,148.34955149924,134.60042880386,139.40024459987,10851030
2022-01-31,140.7491438817,157.65024351479,133.70046334211,139.5491899327,14612521
2022-02-28,141.29982204886,165.50029190144,138.79921871457,165.50029190144,15045070
2022-03-31,166.49990388867,193.59956317748,160.65012838729,172.89930864642,19700532
2022-04-30,172.9989551719,176.90090332774,138.24958945821,144.950031614,11803021
2022-05-31,142.09909207433,148.19955725561,112.30058531106,145.5500085885,18381613
2022-06-30,144.99933042134,149.69949969186,113.00020881105,118.89928311978,14580194
2022-07-31,113.88319821169,115.50035388333,96.099984967555,115.4494358836,15737588.29
2022-08-31,115.4494358836,115.90056936127,88.419921231229,88.499964326816,12573936
2022-09-30,87.499934811982,97.979979353843,80.680079763213,87.660021003155,17653817
2022-10-31,86.600010084631,97.93995780605,85.899989424247,95.660053449827,12534827
2022-11-30,97.119974338285,129.75026528972,94.600042531303,115.80077008178,18091377
2022-12-31,119.79986978112,129.5995480105,116.24986683946,126.75017674522,11880884
2023-01-31,126.75017674522,154.70008516083,126.75017674522,140.65079067341,13245480
2023-02-28,141.0000881516,144.90040693146,122.79995832562,127.39989042186,10614788
2023-03-31,129.5995480105,134.70051322415,110.2995893902,122.25004392847,18734866
2023-04-30,121.95064609001,128.85003505437,115.74985208204,119.39965430319,11220506
2023-05-31,119.00045718525,123.70018856097,104.50002922016,104.60084685964,12232159
2023-06-30,106.59988752931,122.55046012691,106.34937097061,112.39944769935,13762319
2023-07-31,113.19987865522,125.30050403706,108.85046311769,124.0500241983,11142937.430907
2023-08-31,124.0500241983,125.09949798867,105.29989718145,114.09971976244,10499135
2023-09-30,114.45021774632,118.79962500455,106.55037702021,111.95026814945,10172178
2023-10-31,111.49977218169,114.49971169794,104.25042339109,112.25026210108,12565684
2023-11-30,113.29973589144,119.99960081105,105.25040322984,115.29969556893,11887952
2023-12-31,115.65019355282,128.40044153718,114.59970968181,122.69954637567,11729272
2024-01-31,123.09953831117,123.85002823055,105.39989516533,112.45025806883,12125812
2024-02-29,110.49979234294,113.69972782694,107.45035887509,107.79984677832,11780889
2024-03-31,108.79982661707,119.49961089168,106.15038508471,114.1502237947,17612277
2024-04-30,114.39971371406,147.54955040888,114.25022177857,140.64968952152,24472144
2024-05-31,140.74968750539,171.55007661948,138.44973387627,151.69997178001,15656277
2024-06-30,151.473,153.948,136.92,150.35,11600745.798805
2024-07-31,150.55,156.7,126.3,136.1,14999992
2024-08-31,137,142.8,120.4,138.8,14423904
2024-09-30,136.5,166.8,130.75,159.35,16431377
2024-10-31,160.5,163.35,148.65,149.45,11320323
2024-11-30,153.15,153.6,125,127.25,13205540
2024-12-31,126.5,134.55,114.7,115,9859269
